# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	0	0.9813
1	15	100	0	0.9940
2	15	100	0	0.9920
3	15	100	0	0.9633
4	15	100	0	0.9887
5	15	100	0	0.9953
6	15	100	0	0.9807
7	15	100	0	0.9873
8	15	100	0	0.9673
9	15	100	0	0.9927
10	15	100	0	0.9380
11	15	100	0	0.9753
12	15	100	0	0.9987
13	15	100	0	0.9020
14	15	100	0	0.9500
15	15	100	0	0.9393
16	15	100	0	0.9940
17	15	100	0	0.8633
18	15	100	0	0.9853
19	15	100	0	0.9973
20	15	100	0	0.9873
21	15	100	0	0.9860
22	15	100	0	0.9613
23	15	100	0	0.9760
24	15	100	0	0.9747
25	15	100	0	0.9513
26	15	100	0	0.9540
27	15	100	0	0.9800
28	15	100	0	0.9713
29	15	100	0	0.9967
30	15	100	0	0.9433
31	15	100	0	0.9400
32	15	100	0	0.9953
33	15	100	0	0.9867
34	15	100	0	0.9587
35	15	100	0	0.9920
36	15	100	0	0.9927
37	15	100	0	0.9560
38	15	100	0	0.9980
39	15	100	0	0.9707
40	15	100	0	0.9940
41	15	100	0	0.9980
42	15	100	0	0.9953
43	15	100	0	0.9947
44	15	100	0	0.9653
45	15	100	0	0.9887
46	15	100	0	0.9520
47	15	100	0	0.9927
48	15	100	0	0.9860
49	15	100	0	0.9793
# overall average accuracy: 0.9741
