# params:
# num. input: 30
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 0
# num. trials: 50
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	30	100	0	0.7890
1	30	100	0	0.7223
2	30	100	0	0.6633
3	30	100	0	0.7413
4	30	100	0	0.8797
5	30	100	0	0.7980
6	30	100	0	0.7373
7	30	100	0	0.7673
8	30	100	0	0.7823
9	30	100	0	0.8523
10	30	100	0	0.7563
11	30	100	0	0.8640
12	30	100	0	0.7903
13	30	100	0	0.7960
14	30	100	0	0.8043
15	30	100	0	0.7803
16	30	100	0	0.8490
17	30	100	0	0.7723
18	30	100	0	0.7707
19	30	100	0	0.7713
20	30	100	0	0.7583
21	30	100	0	0.7750
22	30	100	0	0.6730
23	30	100	0	0.8500
24	30	100	0	0.8233
25	30	100	0	0.7413
26	30	100	0	0.7093
27	30	100	0	0.7577
28	30	100	0	0.7597
29	30	100	0	0.7893
30	30	100	0	0.7853
31	30	100	0	0.7167
32	30	100	0	0.7730
33	30	100	0	0.8240
34	30	100	0	0.7497
35	30	100	0	0.7490
36	30	100	0	0.7903
37	30	100	0	0.8037
38	30	100	0	0.7930
39	30	100	0	0.8047
40	30	100	0	0.7187
41	30	100	0	0.8017
42	30	100	0	0.7913
43	30	100	0	0.7653
44	30	100	0	0.7743
45	30	100	0	0.8423
46	30	100	0	0.7983
47	30	100	0	0.7853
48	30	100	0	0.7303
49	30	100	0	0.6820
# overall average accuracy: 0.7761
