# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 30
# num. dropout: 0
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	30	0.7980
1	15	100	30	0.8027
2	15	100	30	0.7947
3	15	100	30	0.8313
4	15	100	30	0.8860
5	15	100	30	0.8300
6	15	100	30	0.9133
7	15	100	30	0.7907
8	15	100	30	0.8793
9	15	100	30	0.8920
10	15	100	30	0.8113
11	15	100	30	0.8327
12	15	100	30	0.8427
13	15	100	30	0.7593
14	15	100	30	0.7067
15	15	100	30	0.8613
16	15	100	30	0.8600
17	15	100	30	0.7640
18	15	100	30	0.9113
19	15	100	30	0.9207
20	15	100	30	0.8787
21	15	100	30	0.8507
22	15	100	30	0.9160
23	15	100	30	0.9000
24	15	100	30	0.8940
25	15	100	30	0.7840
26	15	100	30	0.8927
27	15	100	30	0.8793
28	15	100	30	0.8833
29	15	100	30	0.8073
30	15	100	30	0.8987
31	15	100	30	0.8673
32	15	100	30	0.8400
33	15	100	30	0.8447
34	15	100	30	0.8313
35	15	100	30	0.8807
36	15	100	30	0.7627
37	15	100	30	0.8080
38	15	100	30	0.8353
39	15	100	30	0.8707
40	15	100	30	0.8127
41	15	100	30	0.8560
42	15	100	30	0.8733
43	15	100	30	0.8427
44	15	100	30	0.8527
45	15	100	30	0.8360
46	15	100	30	0.8487
47	15	100	30	0.7800
48	15	100	30	0.8400
49	15	100	30	0.8393
# overall average accuracy: 0.8439
