# params:
# num_input: 15
# K: 100
# sparseness: 0.50
# num. corrupt: 10
# num. dropout: 0
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	15	100	10	0.8867
1	15	100	10	0.9767
2	15	100	10	0.9273
3	15	100	10	0.9267
4	15	100	10	0.9533
5	15	100	10	0.8707
6	15	100	10	0.9693
7	15	100	10	0.9927
8	15	100	10	0.9787
9	15	100	10	0.9773
10	15	100	10	0.9820
11	15	100	10	0.9787
12	15	100	10	0.9287
13	15	100	10	0.9800
14	15	100	10	0.9940
15	15	100	10	0.9847
16	15	100	10	0.9340
17	15	100	10	0.9820
18	15	100	10	0.8667
19	15	100	10	0.9427
20	15	100	10	0.9853
21	15	100	10	0.9587
22	15	100	10	0.9647
23	15	100	10	0.9787
24	15	100	10	0.9107
25	15	100	10	0.9587
26	15	100	10	0.8540
27	15	100	10	0.9353
28	15	100	10	0.9460
29	15	100	10	0.9107
30	15	100	10	0.8973
31	15	100	10	0.9787
32	15	100	10	0.9500
33	15	100	10	0.9433
34	15	100	10	0.8493
35	15	100	10	0.9700
36	15	100	10	0.8733
37	15	100	10	0.9440
38	15	100	10	0.9153
39	15	100	10	0.9960
40	15	100	10	0.9907
41	15	100	10	0.9613
42	15	100	10	0.9807
43	15	100	10	0.9813
44	15	100	10	0.9887
45	15	100	10	0.9900
46	15	100	10	0.9680
47	15	100	10	0.9533
48	15	100	10	0.9980
49	15	100	10	0.8467
# overall average accuracy: 0.9482
