# params:
# num. input: 30
# K: 100
# sparseness: 0.50
# num. corrupt: 0
# num. dropout: 0
# num. GD steps: 20
# num. trials: 50
trial	num patterns	pattern size	num. corrupt units	avg. acc
0	30	100	0	0.7410
1	30	100	0	0.8730
2	30	100	0	0.8063
3	30	100	0	0.8053
4	30	100	0	0.7343
5	30	100	0	0.7493
6	30	100	0	0.7860
7	30	100	0	0.7400
8	30	100	0	0.7803
9	30	100	0	0.7620
10	30	100	0	0.8443
11	30	100	0	0.7683
12	30	100	0	0.7987
13	30	100	0	0.7850
14	30	100	0	0.7863
15	30	100	0	0.7727
16	30	100	0	0.7773
17	30	100	0	0.6703
18	30	100	0	0.7717
19	30	100	0	0.7930
20	30	100	0	0.7573
21	30	100	0	0.7520
22	30	100	0	0.6917
23	30	100	0	0.7687
24	30	100	0	0.8033
25	30	100	0	0.7420
26	30	100	0	0.6877
27	30	100	0	0.8073
28	30	100	0	0.8000
29	30	100	0	0.7560
30	30	100	0	0.7607
31	30	100	0	0.7233
32	30	100	0	0.8333
33	30	100	0	0.7283
34	30	100	0	0.8747
35	30	100	0	0.6637
36	30	100	0	0.7550
37	30	100	0	0.8390
38	30	100	0	0.8447
39	30	100	0	0.7740
40	30	100	0	0.7493
41	30	100	0	0.7243
42	30	100	0	0.8150
43	30	100	0	0.7700
44	30	100	0	0.7673
45	30	100	0	0.7333
46	30	100	0	0.7430
47	30	100	0	0.7773
48	30	100	0	0.6963
49	30	100	0	0.7233
# overall average accuracy: 0.7681
